"Binomial","Genus","Species","FBname","SpecCode","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","Weight","WeightFemale","MaxWeightRef","Median_T","lcl_T","ucl_T","n_T","Herbivory2","DietTroph","DietSeTroph","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","Troph","seTroph","TrophObserved","MaxLength_TLonly","TrophCategorical"
"Alepisaurus_ferox","Alepisaurus","ferox","Long snouted lancetfish","99",6011,NA,NA,215,"TL",NA,NA,"150","TL",NA,NA,9000,NA,42154,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.03,0.179,"Troph of juv./adults from 6 studies.","48488",4.39,0.98,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.03000020980835,0.179000005125999,TRUE,"215","carnivore"
"Alepocephalus_agassizii","Alepocephalus","agassizii","Agassiz' slickhead","9171",4460,NA,NA,123,"SL",NA,NA,"70","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.89,0.25,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.89000010490417,0.25,TRUE,"140.097007155418","carnivore"
"Alepocephalus_bairdii","Alepocephalus","bairdii","Baird's slickhead","230",4736,38,NA,100,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.69,0.54,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.69000005722046,0.540000021457672,TRUE,"108.851003646851","carnivore"
"Alepocephalus_tenebrosus","Alepocephalus","tenebrosus","California slickhead","11590",2850,NA,NA,61,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70000004768372,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.5,0.5,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.5,0.5,TRUE,"61","carnivore"
"Allocyttus_folletti","Allocyttus","folletti","Oxeye oreo","11685",2850,NA,NA,42,"TL",NA,NA,"35.099998474121094",NA,NA,NA,1300,NA,56467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.83999991416931,0.600000023841858,FALSE,"42","carnivore"
"Allosmerus_elongatus","Allosmerus","elongatus","Whitebait smelt","2694",2850,NA,NA,22.8999996185303,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,0.360000014305115,FALSE,"22.8999996185303","carnivore"
"Alopias_vulpinus","Alopias","vulpinus","Thresher","2535",247,25,NA,573.299987792969,"TL","549","TL","450","TL",NA,NA,348000,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.5,NA,"Troph of adults from 1 study.","37512",4.37,0.65,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.5,0.360000014305115,FALSE,"573.299987792969","carnivore"
"Alosa_aestivalis","Alosa","aestivalis","Blueback shad","1574",188,8,NA,40,"SL",NA,NA,"27.5","SL",NA,NA,200,NA,7251,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.81,0.26,"Troph of juv./adults from 1 study.","37512",3.42,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.80999994277954,0.259999990463257,TRUE,"47.1303987503052","carnivore"
"Alosa_pseudoharengus","Alosa","pseudoharengus","Alewife","1583",188,9,NA,40,"SL",NA,NA,"30","SL",NA,NA,200,NA,7251,2.70000004768372,NA,NA,2,"mainly animals (troph. 2.8 and up)",3.39,0.322,"Troph of adults from 2 studies.","37512",3.29,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.39000010490417,0.321999996900558,TRUE,"51.2703990936279","carnivore"
"Alosa_sapidissima","Alosa","sapidissima","American shad","1584",188,13,NA,76,"TL","61.70000076293945","SL","50","SL",NA,NA,5500,NA,7251,5.5,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.48,0.32,"Troph of juv./adults from 1 study.","37512",3.60999989509583,0.56,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.48000001907349,0.319999992847443,TRUE,"76","carnivore"
"Aluterus_scriptus","Aluterus","scriptus","Scribbled leatherjacket filefish","4275",4421,NA,NA,110,"TL",NA,NA,"55","TL",NA,NA,2500,NA,26340,NA,NA,NA,NA,"plants/detritus+animals (troph. 2.2-2.79)",2.81,0.37,"Troph of juv./adults from 1 study.","33",3.02,0.19,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,2.80999994277954,0.370000004768372,TRUE,"110","omnivore"
"Ambloplites_rupestris","Ambloplites","rupestris","Rock bass","3361",86798,18,18,43,"TL",NA,NA,"15.399999618530273","TL",NA,NA,1360,NA,4699,5.69999980926514,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.43,0.183,"Troph of juv./adults from 3 studies.","13433",3.33,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.4300000667572,0.18299999833107,TRUE,"43","carnivore"
"Amblyraja_badia","Amblyraja","badia","Broad skate","13209",27314,NA,NA,86,"TL","100","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19000005722046,0.25,FALSE,"86","carnivore"
"Amblyraja_hyperborea","Amblyraja","hyperborea","Arctic skate","9256",27314,NA,NA,112,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.31,0.536,"Troph of juv./adults from 2 studies.","NA",4.04,0.62,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.30999994277954,0.53600001335144,TRUE,"112","carnivore"
"Amblyraja_jenseni","Amblyraja","jenseni","Shorttail skate","27757",27314,NA,NA,74.25,"TL","85","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.62,0.54,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.61999988555908,0.540000021457672,TRUE,"74.25","carnivore"
"Amblyraja_radiata","Amblyraja","radiata","Starry ray","2565",27314,28,NA,105,"TL",NA,NA,NA,NA,NA,NA,11400,NA,53748,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.2,0.268,"Troph of adults from 5 studies.","37969",4.5,1.06,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.19999980926514,0.26800000667572,TRUE,"105","carnivore"
"Ameiurus_melas","Ameiurus","melas","Black bullhead","291",5723,10,NA,66,"TL",NA,NA,"26.600000381469727","TL",NA,NA,3620,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.81,0.37,"Troph of juv./adults from 1 study.","9669",3.49,0.52,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.80999994277954,0.370000004768372,TRUE,"66","carnivore"
"Ameiurus_natalis","Ameiurus","natalis","Yellow bullhead","3021",5723,4,NA,60,"TL",NA,NA,"22.5","TL",NA,NA,1920,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.33,0.46,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.32999992370605,0.46000000834465,TRUE,"60","carnivore"
"Ameiurus_nebulosus","Ameiurus","nebulosus","Brown bullhead","3022",86798,9,5,55,"TL",NA,NA,"25","TL",NA,NA,2740,NA,40637,2.29999995231628,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.68,0.117,"Troph of juv./adults from 3 studies.","30605",3.27999997138977,0.4516,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.6800000667572,0.116999998688698,TRUE,"55","carnivore"
"Amia_calva","Amia","calva","Bowfin","2600",86798,30,30,109,"TL",NA,NA,"53.349998474121094","TL",NA,NA,9750,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.81,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.80999994277954,0.670000016689301,TRUE,"109","carnivore"
"Ammocrypta_pellucida","Ammocrypta","pellucida","Eastern sand darter","3394",3814,NA,NA,8.39999961853027,"TL",NA,NA,"4.949999809265137","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.57,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.5699999332428,0.509999990463257,TRUE,"8.39999961853027","carnivore"
"Ammodytes_americanus","Ammodytes","americanus","American sand lance","3820",10198,NA,NA,23.5,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59999990463257,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.2,NA,"Troph of adults from 1 study.","13787",3.33,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.16000008583069,0.0599999986588955,FALSE,"23.5","carnivore"
"Ammodytes_dubius","Ammodytes","dubius","Northern sand lance","3821",7251,NA,NA,25,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.2,0.072,"Troph of adults from 3 studies.","37512",3.27,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.20000004768372,0.0719999969005585,TRUE,"25","carnivore"
"Ammodytes_hexapterus","Ammodytes","hexapterus","Pacific sand lance","3822",2850,11,NA,30,"TL",NA,NA,"17","TL",NA,NA,100,NA,56527,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.13,0.078,"Troph of juv./adults from 9 studies.","56447",3.26,0.27,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.13000011444092,0.0780000016093254,TRUE,"30","carnivore"
"Amphistichus_rhodoterus","Amphistichus","rhodoterus","Redtail surfperch","3624",2850,9,NA,41,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plants/detritus+animals (troph. 2.2-2.79)",3.37,0.47,"Troph of juv./adults.","102455",3.59,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.36999988555908,0.469999998807907,TRUE,"41","carnivore"
"Anarhichas_denticulatus","Anarhichas","denticulatus","Northern wolffish","3810",4694,NA,NA,180,"TL",NA,NA,NA,NA,NA,NA,20000,NA,7251,13.6000003814697,NA,NA,2,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.04,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.03999996185303,0.670000016689301,TRUE,"180","carnivore"
"Anarhichas_lupus","Anarhichas","lupus","Atlantic wolffish","2501",4694,NA,NA,150,"TL",NA,NA,NA,NA,NA,NA,23580,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.55,NA,"Troph of adults from 1 study.","37512",3.73,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.85999989509583,0.389999985694885,FALSE,"150","carnivore"
"Anarhichas_minor","Anarhichas","minor","Spotted wolffish","3811",4694,NA,NA,180,"TL",NA,NA,"120","TL",NA,NA,27900,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","46083",3.84,0.62,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.83999991416931,0.620000004768372,TRUE,"180","carnivore"
"Anarhichas_orientalis","Anarhichas","orientalis","Bering wolffish","3812",559,NA,NA,112,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.8,0.39,"Troph of juv./adults from 1 study.","56571",3.35,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.79999995231628,0.389999985694885,TRUE,"112","carnivore"
"Anarrhichthys_ocellatus","Anarrhichthys","ocellatus","Wolf-eel","3813",2850,NA,NA,240,"TL",NA,NA,NA,NA,NA,NA,18400,NA,27436,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.51,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.50999999046326,0.529999971389771,TRUE,"240","carnivore"
"Anguilla_rostrata","Anguilla","rostrata","American eel","296",5723,43,50,152,"TL","122","TL","50","TL",NA,NA,7330,NA,4699,14.5,NA,NA,2,"mainly animals (troph. 2.8 and up)",3.83,0.216,"Troph of adults from 3 studies.","30611",3.62,0.54,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.82999992370605,0.216000005602837,TRUE,"152","carnivore"
"Anisarchus_medius","Anisarchus","medius","Stout eelblenny","3789",2850,NA,NA,30,"TL",NA,NA,"12","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.22,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.22000002861023,0.360000014305115,TRUE,"30","carnivore"
"Anoplagonus_inermis","Anoplagonus","inermis","Smooth alligatorfish","4155",2850,NA,NA,15,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,0.129999995231628,FALSE,"15","carnivore"
"Anoplarchus_insignis","Anoplarchus","insignis","Slender cockscomb","3775",2850,NA,NA,12,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6800000667572,0.209999993443489,FALSE,"12","omnivore"
"Anoplarchus_purpurescens","Anoplarchus","purpurescens","High cockscomb","3776",2850,NA,NA,20,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plants/detritus+animals (troph. 2.2-2.79)",2.89,0.138,"Troph of juv./adults from 3 studies.","58686",3.14,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,2.89000010490417,0.137999996542931,TRUE,"20","omnivore"
"Anoplogaster_cornuta","Anoplogaster","cornuta","Common fangtooth","2308",4737,NA,NA,18,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.01,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.01000022888184,0.529999971389771,TRUE,"18","carnivore"
"Anoplopoma_fimbria","Anoplopoma","fimbria","Sablefish","512",2850,94,NA,120,"TL",NA,NA,"80","TL",NA,NA,NA,NA,NA,5.80000019073486,4.80000019073486,6.90000009536743,25,"mainly animals (troph. 2.8 and up)",3.84,0.205,"Troph of juv./adults from 5 studies.","37513",4.12,0.85,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.83999991416931,0.204999998211861,TRUE,"120","carnivore"
"Anotopterus_nikparini","Anotopterus","nikparini","North Pacific daggertooth","60529",31260,NA,NA,146,"TL",NA,NA,NA,NA,NA,NA,1650,NA,6885,2.20000004768372,NA,NA,1,"mainly animals (troph. 2.8 and up)",4.5,0.5,"Troph of juv./adults from 1 study.","28833",4.41,0.81,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.5,0.5,TRUE,"146","carnivore"
"Anotopterus_pharao","Anotopterus","pharao","Daggertooth","2729",31260,NA,NA,96,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.34,0.76,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.34000015258789,0.759999990463257,TRUE,"103.783676147461","carnivore"
"Anthias_nicholsi","Anthias","nicholsi","Yellowfin bass","3313",7251,NA,NA,25,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55999994277954,0.46000000834465,FALSE,"25","carnivore"
"Antimora_microlepis","Antimora","microlepis","Finescale mora","2006",1371,20,NA,75,"TL",NA,NA,NA,NA,NA,NA,2100,NA,56581,12.1999998092651,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.5,0.37,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.5,0.370000004768372,TRUE,"75","carnivore"
"Antimora_rostrata","Antimora","rostrata","Blue antimora","2005",1371,NA,NA,75,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3000001907349,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.58,0.47,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.57999992370605,0.469999998807907,TRUE,NA,"carnivore"
"Apeltes_quadracus","Apeltes","quadracus","Fourspine stickleback","3269",3814,3,4,6.40000009536743,"TL",NA,NA,"4.099999904632568","TL",NA,NA,NA,NA,NA,1.29999995231628,NA,NA,2,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.23,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.23000001907349,0.379999995231628,TRUE,"6.40000009536743","carnivore"
"Aphanopus_carbo","Aphanopus","carbo","Black scabbardfish","646",6181,NA,NA,151,"TL",NA,NA,"70","SL",NA,NA,NA,4232,108733,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.48,0.77,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.48000001907349,0.769999980926514,TRUE,"151","carnivore"
"Aplodinotus_grunniens","Aplodinotus","grunniens","Freshwater drum","3577",86798,13,NA,95,"TL",NA,NA,"45","TL",NA,NA,24720,NA,4699,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.36,0.43,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.35999989509583,0.430000007152557,TRUE,"95","carnivore"
"Apodichthys_flavidus","Apodichthys","flavidus","Penpoint gunnel","3799",2850,NA,NA,46,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.55,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.54999995231628,0.5,TRUE,"46","carnivore"
"Apodichthys_fucorum","Apodichthys","fucorum","Rockweed gunnel","3809",2850,NA,NA,23,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.39,0.41,"Troph of juv./adults from 1 study.","58686",3.46,0.46,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.39000010490417,0.409999996423721,TRUE,"23","carnivore"
"Apristurus_brunneus","Apristurus","brunneus","Brown catshark","763",244,NA,NA,69,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.58,NA,"Troph of adults from 1 study.","13793",4.02,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.94000005722046,0.430000007152557,FALSE,"69","carnivore"
"Apristurus_laurussonii","Apristurus","laurussonii","Iceland catshark","770",35766,NA,NA,76,"TL","69","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97000002861023,0.439999997615814,FALSE,"76","carnivore"
"Apristurus_manis","Apristurus","manis","Ghost catshark","774",244,NA,NA,85,"TL","76","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,4,0.439999997615814,FALSE,"85","carnivore"
"Apristurus_melanoasper","Apristurus","melanoasper","Black roughscale catshark","62554",56212,NA,NA,76.0999984741211,"TL","73.19999694824219","TL",NA,NA,NA,NA,1288,1275,56212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.97000002861023,0.439999997615814,FALSE,"76.0999984741211","carnivore"
"Apristurus_microps","Apristurus","microps","Smalleye catshark","775",244,NA,NA,61,"TL","43.20000076293945","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.84,0.32,"Troph of juv./adults from 1 study.","33559",4.26,0.66,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.83999991416931,0.319999992847443,TRUE,"61","carnivore"
